menu_id,restaurante_id,fecha,dia_semana,dia_semana_num,temporada,primer_plato,primer_plato_id,segundo_plato,segundo_plato_id,postre,postre_id,bebida_incluida,precio
38,1,2025-10-22,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
39,1,2025-10-23,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
40,1,2025-10-24,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
41,1,2025-10-27,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
42,1,2025-10-28,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
43,1,2025-10-29,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
44,1,2025-10-30,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
45,1,2025-10-31,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
46,1,2025-11-03,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
47,1,2025-11-04,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
48,1,2025-11-05,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
49,1,2025-11-06,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
50,1,2025-11-07,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
51,1,2025-11-10,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
52,1,2025-11-11,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
53,1,2025-11-12,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
54,1,2025-11-13,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
55,1,2025-11-14,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
56,1,2025-11-17,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
57,1,2025-11-18,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
58,1,2025-11-19,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
59,1,2025-11-20,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
60,1,2025-11-21,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
61,1,2025-11-24,Lunes,0,otoño,Sopa castellana,1,Pollo asado con patatas,6,Arroz con leche,11,True,12.5
62,1,2025-11-25,Martes,1,otoño,Lentejas estofadas,2,Merluza en salsa verde,7,Flan casero,12,True,12.5
63,1,2025-11-26,Miércoles,2,otoño,Crema de calabaza,3,Albóndigas en salsa,8,Tarta de manzana,13,True,12.5
64,1,2025-11-27,Jueves,3,otoño,Judías con chorizo,4,Lomo a la plancha,9,Natillas,14,True,12.5
65,1,2025-11-28,Viernes,4,otoño,Puchero madrileño,5,Callos a la madrileña,10,Coulant de chocolate,15,True,12.5
66,1,2025-12-01,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
67,1,2025-12-02,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
68,1,2025-12-03,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
69,1,2025-12-04,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
70,1,2025-12-05,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
71,1,2025-12-09,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
72,1,2025-12-10,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
73,1,2025-12-11,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
74,1,2025-12-12,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
75,1,2025-12-15,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
76,1,2025-12-16,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
77,1,2025-12-17,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
78,1,2025-12-18,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
79,1,2025-12-19,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
80,1,2025-12-22,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
81,1,2025-12-23,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
82,1,2025-12-24,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
83,1,2025-12-26,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
84,1,2025-12-29,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
85,1,2025-12-30,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
86,1,2025-12-31,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
87,1,2026-01-02,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
88,1,2026-01-05,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
89,1,2026-01-07,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
90,1,2026-01-08,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
91,1,2026-01-09,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
92,1,2026-01-12,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
93,1,2026-01-13,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
94,1,2026-01-14,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
95,1,2026-01-15,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
96,1,2026-01-16,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
97,1,2026-01-19,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
98,1,2026-01-20,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
99,1,2026-01-21,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
100,1,2026-01-22,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
101,1,2026-01-23,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
102,1,2026-01-26,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
103,1,2026-01-27,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
104,1,2026-01-28,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
105,1,2026-01-29,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
106,1,2026-01-30,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
107,1,2026-02-02,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
108,1,2026-02-03,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
109,1,2026-02-04,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
110,1,2026-02-05,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
111,1,2026-02-06,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
112,1,2026-02-09,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
113,1,2026-02-10,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
114,1,2026-02-11,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
115,1,2026-02-12,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
116,1,2026-02-13,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
117,1,2026-02-16,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
118,1,2026-02-17,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
119,1,2026-02-18,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
120,1,2026-02-19,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
121,1,2026-02-20,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
122,1,2026-02-23,Lunes,0,invierno,Cocido madrileño,16,Rabo de toro,21,Torrijas,26,True,12.5
123,1,2026-02-24,Martes,1,invierno,Sopa de ajo,17,Bacalao al pil pil,22,Tarta de queso,27,True,12.5
124,1,2026-02-25,Miércoles,2,invierno,Lentejas con verduras,18,Estofado de ternera,23,Crema catalana,28,True,12.5
125,1,2026-02-26,Jueves,3,invierno,Fabada asturiana,19,Secreto ibérico,24,Brownie con helado,29,True,12.5
126,1,2026-02-27,Viernes,4,invierno,Potaje de garbanzos,20,Chuletillas de cordero,25,Leche frita,30,True,12.5
127,1,2026-03-02,Lunes,0,primavera,Gazpacho,31,Pollo al limón,36,Fresones con nata,41,True,12.5
128,1,2026-03-03,Martes,1,primavera,Ensalada mixta,32,Merluza a la romana,37,Helado artesano,42,True,12.5
129,2,2025-09-01,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
130,2,2025-09-02,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
131,2,2025-09-03,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
132,2,2025-09-04,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
133,2,2025-09-05,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
134,2,2025-09-08,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
135,2,2025-09-09,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
136,2,2025-09-10,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
137,2,2025-09-11,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
138,2,2025-09-12,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
139,2,2025-09-15,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
140,2,2025-09-16,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
141,2,2025-09-17,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
142,2,2025-09-18,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
143,2,2025-09-19,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
144,2,2025-09-22,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
145,2,2025-09-23,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
146,2,2025-09-24,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
147,2,2025-09-25,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
148,2,2025-09-26,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
149,2,2025-09-29,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
150,2,2025-09-30,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
151,2,2025-10-01,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
152,2,2025-10-02,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
153,2,2025-10-03,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
154,2,2025-10-06,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
155,2,2025-10-07,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
156,2,2025-10-08,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
157,2,2025-10-09,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
158,2,2025-10-10,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
159,2,2025-10-13,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
160,2,2025-10-14,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
161,2,2025-10-15,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
162,2,2025-10-16,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
163,2,2025-10-17,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
164,2,2025-10-20,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
165,2,2025-10-21,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
166,2,2025-10-22,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
167,2,2025-10-23,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
168,2,2025-10-24,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
169,2,2025-10-27,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
170,2,2025-10-28,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
171,2,2025-10-29,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
172,2,2025-10-30,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
173,2,2025-10-31,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
174,2,2025-11-03,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
175,2,2025-11-04,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
176,2,2025-11-05,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
177,2,2025-11-06,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
178,2,2025-11-07,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
179,2,2025-11-10,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
180,2,2025-11-11,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
181,2,2025-11-12,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
182,2,2025-11-13,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
183,2,2025-11-14,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
184,2,2025-11-17,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
185,2,2025-11-18,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
186,2,2025-11-19,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
187,2,2025-11-20,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
188,2,2025-11-21,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
189,2,2025-11-24,Lunes,0,otoño,Ensalada templada de setas,46,Dorada al horno,51,Arroz con leche,11,True,13.0
190,2,2025-11-25,Martes,1,otoño,Crema de puerros,47,Pollo al romero,52,Flan casero,12,True,13.0
191,2,2025-11-26,Miércoles,2,otoño,Hummus con crudités,48,Brochetas de ternera,53,Tarta de manzana,13,True,13.0
192,2,2025-11-27,Jueves,3,otoño,Tabulé,49,Salmón con verduras,54,Natillas,14,True,13.0
193,2,2025-11-28,Viernes,4,otoño,Sopa minestrone,50,Musaka griega,55,Coulant de chocolate,15,True,13.0
194,2,2025-12-01,Lunes,0,invierno,Crema de zanahoria y jengibre,56,Cordero al horno,61,Torrijas,26,True,13.0
195,2,2025-12-02,Martes,1,invierno,Ensalada César,57,Lubina a la sal,62,Tarta de queso,27,True,13.0
196,2,2025-12-03,Miércoles,2,invierno,Sopa de cebolla,58,Moussaka,63,Crema catalana,28,True,13.0
197,2,2025-12-04,Jueves,3,invierno,Falafel con ensalada,59,Tajín de pollo,64,Brownie con helado,29,True,13.0
198,2,2025-12-05,Viernes,4,invierno,Crema de champiñones,60,Bacalao confitado,65,Leche frita,30,True,13.0
199,2,2025-12-09,Martes,1,invierno,Ensalada César,57,Lubina a la sal,62,Tarta de queso,27,True,13.0
200,2,2025-12-10,Miércoles,2,invierno,Sopa de cebolla,58,Moussaka,63,Crema catalana,28,True,13.0
201,2,2025-12-11,Jueves,3,invierno,Falafel con ensalada,59,Tajín de pollo,64,Brownie con helado,29,True,13.0
202,2,2025-12-12,Viernes,4,invierno,Crema de champiñones,60,Bacalao confitado,65,Leche frita,30,True,13.0
203,2,2025-12-15,Lunes,0,invierno,Crema de zanahoria y jengibre,56,Cordero al horno,61,Torrijas,26,True,13.0
204,2,2025-12-16,Martes,1,invierno,Ensalada César,57,Lubina a la sal,62,Tarta de queso,27,True,13.0
205,2,2025-12-17,Miércoles,2,invierno,Sopa de cebolla,58,Moussaka,63,Crema catalana,28,True,13.0
206,2,2025-12-18,Jueves,3,invierno,Falafel con ensalada,59,Tajín de pollo,64,Brownie con helado,29,True,13.0
207,2,2025-12-19,Viernes,4,invierno,Crema de champiñones,60,Bacalao confitado,65,Leche frita,30,True,13.0
208,2,2025-12-22,Lunes,0,invierno,Crema de zanahoria y jengibre,56,Cordero al horno,61,Torrijas,26,True,13.0
209,2,2025-12-23,Martes,1,invierno,Ensalada César,57,Lubina a la sal,62,Tarta de queso,27,True,13.0
210,2,2025-12-24,Miércoles,2,invierno,Sopa de cebolla,58,Moussaka,63,Crema catalana,28,True,13.0
211,2,2025-12-26,Viernes,4,invierno,Crema de champiñones,60,Bacalao confitado,65,Leche frita,30,True,13.0
212,2,2025-12-29,Lunes,0,invierno,Crema de zanahoria y jengibre,56,Cordero al horno,61,Torrijas,26,True,13.0
213,2,2025-12-30,Martes,1,invierno,Ensalada César,57,Lubina a la sal,62,Tarta de queso,27,True,13.0
214,2,2025-12-31,Miércoles,2,invierno,Sopa de cebolla,58,Moussaka,63,Crema catalana,28,True,13.0
215,2,2026-01-02,Viernes,4,invierno,Crema de champiñones,60,Bacalao confitado,65,Leche frita,30,True,13.0
216,2,2026-01-05,Lunes,0,invierno,Crema de zanahoria y jengibre,56,Cordero al horno,61,Torrijas,26,True,13.0
217,2,2026-01-07,Miércoles,2,invierno,Sopa de cebolla,58,Moussaka,63,Crema catalana,28,True,13.0
218,2,2026-01-08,Jueves,3,invierno,Falafel con ensalada,59,Tajín de pollo,64,Brownie con helado,29,True,13.0
219,2,2026-01-09,Viernes,4,invierno,Crema de champiñones,60,Bacalao confitado,65,Leche frita,30,True,13.0
220,2,2026-01-12,Lunes,0,invierno,Crema de zanahoria y jengibre,56,Cordero al horno,61,Torrijas,26,True,13.0
221,2,2026-01-13,Martes,1,invierno,Ensalada César,57,Lubina a la sal,62,Tarta de queso,27,True,13.0
222,2,2026-01-14,Miércoles,2,invierno,Sopa de cebolla,58,Moussaka,63,Crema catalana,28,True,13.0
223,2,2026-01-15,Jueves,3,invierno,Falafel con ensalada,59,Tajín de pollo,64,Brownie con helado,29,True,13.0
224,2,2026-01-16,Viernes,4,invierno,Crema de champiñones,60,Bacalao confitado,65,Leche frita,30,True,13.0
225,2,2026-01-19,Lunes,0,invierno,Crema de zanahoria y jengibre,56,Cordero al horno,61,Torrijas,26,True,13.0
226,2,2026-01-20,Martes,1,invierno,Ensalada César,57,Lubina a la sal,62,Tarta de queso,27,True,13.0
227,2,2026-01-21,Miércoles,2,invierno,Sopa de cebolla,58,Moussaka,63,Crema catalana,28,True,13.0
228,2,2026-01-22,Jueves,3,invierno,Falafel con ensalada,59,Tajín de pollo,64,Brownie con helado,29,True,13.0
229,2,2026-01-23,Viernes,4,invierno,Crema de champiñones,60,Bacalao confitado,65,Leche frita,30,True,13.0
230,2,2026-01-26,Lunes,0,invierno,Crema de zanahoria y jengibre,56,Cordero al horno,61,Torrijas,26,True,13.0
231,2,2026-01-27,Martes,1,invierno,Ensalada César,57,Lubina a la sal,62,Tarta de queso,27,True,13.0
