valoracion_id,usuario_id,restaurante_id,menu_id,plato_id,plato_nombre,categoria,puntuacion,fecha,comentario
51,50,8,987,214,Pasta integral con verduras,segundo,4.3,2026-01-09,
52,50,8,987,30,Leche frita,postre,4.8,2026-01-09,
53,184,8,987,209,Crema de coliflor,primero,3.2,2026-01-09,
54,184,8,987,30,Leche frita,postre,2.6,2026-01-09,
55,434,8,987,209,Crema de coliflor,primero,3.5,2026-01-09,
56,177,8,987,209,Crema de coliflor,primero,4.5,2026-01-09,
57,177,8,987,30,Leche frita,postre,5.0,2026-01-09,
58,310,6,707,147,Croquetas de bacalao,primero,3.4,2025-12-02,
59,310,6,707,152,Paella mixta,segundo,3.5,2025-12-02,
60,310,6,707,27,Tarta de queso,postre,3.8,2025-12-02,
61,136,6,707,147,Croquetas de bacalao,primero,3.3,2025-12-02,
62,136,6,707,152,Paella mixta,segundo,2.7,2025-12-02,
63,136,6,707,27,Tarta de queso,postre,4.6,2025-12-02,
64,414,6,707,147,Croquetas de bacalao,primero,3.7,2025-12-02,
65,414,6,707,152,Paella mixta,segundo,4.6,2025-12-02,Espectacular
66,23,6,707,147,Croquetas de bacalao,primero,2.6,2025-12-02,
67,23,6,707,152,Paella mixta,segundo,2.5,2025-12-02,Esperaba más
68,374,6,707,147,Croquetas de bacalao,primero,3.9,2025-12-02,
69,374,6,707,152,Paella mixta,segundo,3.8,2025-12-02,
70,374,6,707,27,Tarta de queso,postre,2.5,2025-12-02,
71,64,5,573,106,Sopa de miso,primero,3.8,2025-11-24,
72,499,5,573,106,Sopa de miso,primero,2.1,2025-11-24,
73,499,5,573,111,Pollo teriyaki,segundo,2.9,2025-11-24,
74,473,1,66,16,Cocido madrileño,primero,5.0,2025-12-01,
75,473,1,66,21,Rabo de toro,segundo,5.0,2025-12-01,
76,473,1,66,26,Torrijas,postre,3.4,2025-12-01,
77,194,1,66,16,Cocido madrileño,primero,4.2,2025-12-01,
78,194,1,66,21,Rabo de toro,segundo,4.5,2025-12-01,Muy rico
79,41,1,66,16,Cocido madrileño,primero,4.6,2025-12-01,
80,41,1,66,26,Torrijas,postre,3.7,2025-12-01,
81,283,1,66,21,Rabo de toro,segundo,2.6,2025-12-01,
82,425,1,45,5,Puchero madrileño,primero,5.0,2025-10-31,
83,317,9,1099,146,Sopa de marisco,primero,4.3,2025-12-15,
84,454,9,1099,237,Bacalao gratinado,segundo,4.8,2025-12-15,
85,454,9,1099,26,Torrijas,postre,4.2,2025-12-15,
86,442,5,527,115,Arroz frito con gambas,segundo,3.4,2025-09-19,
87,442,5,527,15,Coulant de chocolate,postre,3.0,2025-09-19,
88,186,5,527,110,Edamame,primero,3.3,2025-09-19,
89,186,5,527,15,Coulant de chocolate,postre,3.7,2025-09-19,
90,296,5,527,110,Edamame,primero,3.9,2025-09-19,
91,296,5,527,115,Arroz frito con gambas,segundo,4.4,2025-09-19,Excelente
92,296,5,527,15,Coulant de chocolate,postre,3.8,2025-09-19,
93,99,5,527,110,Edamame,primero,4.0,2025-09-19,
94,99,5,527,115,Arroz frito con gambas,segundo,5.0,2025-09-19,Muy bueno
95,99,5,527,15,Coulant de chocolate,postre,3.5,2025-09-19,
96,339,10,1160,254,Elote asado,primero,3.5,2025-09-10,
97,339,10,1160,259,Burrito de pollo,segundo,3.5,2025-09-10,
98,339,10,1160,13,Tarta de manzana,postre,3.1,2025-09-10,
99,117,10,1160,254,Elote asado,primero,3.7,2025-09-10,
100,396,4,478,88,Carpaccio de ternera,primero,4.9,2026-01-14,
101,396,4,478,93,Saltimbocca romana,segundo,5.0,2026-01-14,
102,396,4,478,28,Crema catalana,postre,4.9,2026-01-14,Excelente
103,149,4,478,88,Carpaccio de ternera,primero,5.0,2026-01-14,
104,149,4,478,28,Crema catalana,postre,4.4,2026-01-14,
105,438,5,631,118,Wonton soup,primero,3.8,2026-02-18,
106,120,9,1046,142,Paella de marisco,segundo,4.5,2025-09-30,
107,444,9,1041,226,Gambas al ajillo,primero,5.0,2025-09-23,
108,444,9,1041,142,Paella de marisco,segundo,4.2,2025-09-23,
109,444,9,1041,12,Flan casero,postre,4.5,2025-09-23,
110,52,9,1041,226,Gambas al ajillo,primero,3.2,2025-09-23,
111,52,9,1041,142,Paella de marisco,segundo,3.6,2025-09-23,
112,195,9,1041,226,Gambas al ajillo,primero,3.1,2025-09-23,
113,195,9,1041,142,Paella de marisco,segundo,4.3,2025-09-23,
114,195,9,1041,12,Flan casero,postre,4.6,2025-09-23,
115,143,2,197,59,Falafel con ensalada,primero,3.9,2025-12-04,
116,143,2,197,29,Brownie con helado,postre,3.8,2025-12-04,
117,233,2,197,59,Falafel con ensalada,primero,5.0,2025-12-04,
118,233,2,197,29,Brownie con helado,postre,3.9,2025-12-04,
119,326,2,197,59,Falafel con ensalada,primero,4.0,2025-12-04,
120,326,2,197,64,Tajín de pollo,segundo,4.2,2025-12-04,
121,326,2,197,29,Brownie con helado,postre,4.3,2025-12-04,
122,428,2,197,59,Falafel con ensalada,primero,2.8,2025-12-04,
123,428,2,197,64,Tajín de pollo,segundo,2.9,2025-12-04,
124,428,2,197,29,Brownie con helado,postre,4.0,2025-12-04,
125,187,2,232,58,Sopa de cebolla,primero,3.2,2026-01-28,
126,187,2,232,63,Moussaka,segundo,3.6,2026-01-28,
127,84,2,232,58,Sopa de cebolla,primero,3.2,2026-01-28,
128,84,2,232,63,Moussaka,segundo,3.8,2026-01-28,
129,84,2,232,28,Crema catalana,postre,3.4,2026-01-28,
130,190,2,232,58,Sopa de cebolla,primero,2.9,2026-01-28,
131,190,2,232,63,Moussaka,segundo,4.3,2026-01-28,
132,190,2,232,28,Crema catalana,postre,3.7,2026-01-28,
133,182,7,833,169,Patatas revolconas,primero,3.9,2025-11-28,
134,182,7,833,174,Chuletas de cordero,segundo,5.0,2025-11-28,
135,182,7,833,15,Coulant de chocolate,postre,4.2,2025-11-28,
136,108,7,833,15,Coulant de chocolate,postre,4.3,2025-11-28,
137,344,7,833,169,Patatas revolconas,primero,4.7,2025-11-28,
138,344,7,833,174,Chuletas de cordero,segundo,4.2,2025-11-28,
139,137,7,833,15,Coulant de chocolate,postre,4.0,2025-11-28,
140,360,7,833,169,Patatas revolconas,primero,4.8,2025-11-28,
141,360,7,833,174,Chuletas de cordero,segundo,3.8,2025-11-28,
142,360,7,833,15,Coulant de chocolate,postre,4.3,2025-11-28,Excelente
143,312,3,334,24,Secreto ibérico,segundo,4.7,2025-12-18,Repetiría sin duda
144,326,3,334,19,Fabada asturiana,primero,3.7,2025-12-18,
145,274,9,1069,15,Coulant de chocolate,postre,3.8,2025-10-31,
146,374,9,1069,140,Sopa de pescado,primero,4.4,2025-10-31,
147,374,9,1069,15,Coulant de chocolate,postre,4.2,2025-10-31,Repetiría sin duda
148,126,9,1069,140,Sopa de pescado,primero,4.1,2025-10-31,
149,126,9,1069,232,Rape alangostado,segundo,4.6,2025-10-31,Espectacular
150,126,9,1069,15,Coulant de chocolate,postre,3.1,2025-10-31,
151,195,4,395,76,Minestrone,primero,4.4,2025-09-15,
152,195,4,395,81,Pasta carbonara,segundo,4.6,2025-09-15,
153,139,4,395,76,Minestrone,primero,4.3,2025-09-15,
154,139,4,395,81,Pasta carbonara,segundo,3.8,2025-09-15,
155,139,4,395,11,Arroz con leche,postre,4.5,2025-09-15,
156,474,3,343,25,Chuletillas de cordero,segundo,3.6,2026-01-02,
157,328,3,343,20,Potaje de garbanzos,primero,3.4,2026-01-02,
158,328,3,343,25,Chuletillas de cordero,segundo,2.6,2026-01-02,
159,328,3,343,30,Leche frita,postre,5.0,2026-01-02,
160,353,3,343,20,Potaje de garbanzos,primero,3.9,2026-01-02,
161,286,2,199,62,Lubina a la sal,segundo,3.1,2025-12-09,
162,113,2,199,27,Tarta de queso,postre,3.8,2025-12-09,
163,351,9,1143,239,Rodaballo al horno,segundo,5.0,2026-02-18,
164,167,3,366,19,Fabada asturiana,primero,4.0,2026-02-05,
165,432,3,366,19,Fabada asturiana,primero,3.7,2026-02-05,
166,432,3,366,24,Secreto ibérico,segundo,4.0,2026-02-05,
167,432,3,366,29,Brownie con helado,postre,4.5,2026-02-05,Muy bueno
168,394,3,366,19,Fabada asturiana,primero,3.9,2026-02-05,
169,394,3,366,24,Secreto ibérico,segundo,5.0,2026-02-05,
170,394,3,366,29,Brownie con helado,postre,3.5,2026-02-05,
171,118,2,185,47,Crema de puerros,primero,3.1,2025-11-18,
172,421,9,1027,230,Lubina a la espalda,segundo,4.0,2025-09-03,
173,17,9,1027,227,Mejillones a la marinera,primero,2.7,2025-09-03,
174,413,9,1027,227,Mejillones a la marinera,primero,3.8,2025-09-03,
175,413,9,1027,13,Tarta de manzana,postre,4.5,2025-09-03,
176,162,9,1027,230,Lubina a la espalda,segundo,5.0,2025-09-03,
177,162,9,1027,13,Tarta de manzana,postre,3.5,2025-09-03,
178,206,2,129,46,Ensalada templada de setas,primero,3.4,2025-09-01,
179,138,2,129,46,Ensalada templada de setas,primero,3.8,2025-09-01,
180,138,2,129,51,Dorada al horno,segundo,4.4,2025-09-01,
181,34,2,129,11,Arroz con leche,postre,4.4,2025-09-01,
182,109,2,129,46,Ensalada templada de setas,primero,2.9,2025-09-01,
183,109,2,129,51,Dorada al horno,segundo,2.6,2025-09-01,
184,109,2,129,11,Arroz con leche,postre,3.3,2025-09-01,
185,468,2,129,46,Ensalada templada de setas,primero,3.2,2025-09-01,
186,468,2,129,51,Dorada al horno,segundo,2.9,2025-09-01,
187,468,2,129,11,Arroz con leche,postre,5.0,2025-09-01,
188,483,8,924,197,Hummus casero,primero,5.0,2025-10-08,
189,483,8,924,202,Hamburguesa vegana,segundo,4.1,2025-10-08,
190,483,8,924,13,Tarta de manzana,postre,4.5,2025-10-08,
191,291,8,924,202,Hamburguesa vegana,segundo,4.3,2025-10-08,
192,449,8,924,197,Hummus casero,primero,4.8,2025-10-08,Buenísimo
193,449,8,924,13,Tarta de manzana,postre,3.3,2025-10-08,
194,368,8,924,197,Hummus casero,primero,3.1,2025-10-08,
195,368,8,924,13,Tarta de manzana,postre,4.3,2025-10-08,
196,109,10,1278,266,Flautas de pollo,primero,3.0,2026-02-27,
197,109,10,1278,271,Chilaquiles rojos,segundo,2.7,2026-02-27,
198,109,10,1278,30,Leche frita,postre,3.1,2026-02-27,
199,336,10,1278,266,Flautas de pollo,primero,2.9,2026-02-27,
200,336,10,1278,30,Leche frita,postre,2.4,2026-02-27,Mejorable
201,256,10,1278,271,Chilaquiles rojos,segundo,2.7,2026-02-27,
202,203,10,1278,266,Flautas de pollo,primero,3.4,2026-02-27,
203,203,10,1278,271,Chilaquiles rojos,segundo,3.1,2026-02-27,
204,203,10,1278,30,Leche frita,postre,2.4,2026-02-27,
205,235,1,52,7,Merluza en salsa verde,segundo,4.8,2025-11-11,
206,235,1,52,12,Flan casero,postre,5.0,2025-11-11,Muy rico
207,72,2,241,27,Tarta de queso,postre,4.0,2026-02-10,
208,127,2,241,27,Tarta de queso,postre,4.6,2026-02-10,Muy rico
209,383,10,1177,256,Totopos con pico de gallo,primero,2.4,2025-10-03,
210,383,10,1177,261,Chili con carne,segundo,3.4,2025-10-03,
211,220,10,1177,256,Totopos con pico de gallo,primero,3.6,2025-10-03,
212,220,10,1177,261,Chili con carne,segundo,2.4,2025-10-03,
213,460,10,1177,256,Totopos con pico de gallo,primero,3.5,2025-10-03,
214,460,10,1177,261,Chili con carne,segundo,3.4,2025-10-03,
215,460,10,1177,15,Coulant de chocolate,postre,2.9,2025-10-03,
216,299,10,1177,256,Totopos con pico de gallo,primero,2.7,2025-10-03,
217,299,10,1177,261,Chili con carne,segundo,3.8,2025-10-03,
218,205,6,672,137,Croquetas de jamón,primero,4.1,2025-10-14,Buenísimo
219,205,6,672,12,Flan casero,postre,3.0,2025-10-14,
220,113,4,443,84,Pizza margarita,segundo,4.5,2025-11-20,
221,71,9,1147,238,Zarzuela de pescado,segundo,3.6,2026-02-24,
222,71,9,1147,27,Tarta de queso,postre,4.7,2026-02-24,
223,261,9,1147,233,Cazuela de almejas,primero,3.6,2026-02-24,
224,253,2,222,58,Sopa de cebolla,primero,4.1,2026-01-14,
225,253,2,222,63,Moussaka,segundo,3.7,2026-01-14,
226,253,2,222,28,Crema catalana,postre,3.5,2026-01-14,
227,47,2,222,58,Sopa de cebolla,primero,3.3,2026-01-14,
228,47,2,222,28,Crema catalana,postre,4.9,2026-01-14,
229,387,2,222,58,Sopa de cebolla,primero,3.5,2026-01-14,
230,25,1,24,4,Judías con chorizo,primero,4.2,2025-10-02,
231,25,1,24,14,Natillas,postre,2.9,2025-10-02,
232,441,4,424,80,Antipasto variado,primero,3.5,2025-10-24,
233,441,4,424,15,Coulant de chocolate,postre,4.0,2025-10-24,
234,57,6,668,13,Tarta de manzana,postre,3.0,2025-10-08,
235,79,6,668,138,Mejillones al vapor,primero,3.1,2025-10-08,
236,79,6,668,143,Arroz al horno,segundo,1.7,2025-10-08,
237,79,6,668,13,Tarta de manzana,postre,4.1,2025-10-08,
238,322,3,298,2,Lentejas estofadas,primero,5.0,2025-10-28,
239,322,3,298,7,Merluza en salsa verde,segundo,4.3,2025-10-28,Como casero
240,322,3,298,12,Flan casero,postre,3.0,2025-10-28,
241,82,3,298,2,Lentejas estofadas,primero,3.7,2025-10-28,
242,306,1,44,4,Judías con chorizo,primero,4.5,2025-10-30,
243,306,1,44,14,Natillas,postre,5.0,2025-10-30,
244,33,9,1116,146,Sopa de marisco,primero,4.2,2026-01-12,
245,33,9,1116,26,Torrijas,postre,4.9,2026-01-12,
246,198,9,1116,146,Sopa de marisco,primero,3.6,2026-01-12,
247,198,9,1116,237,Bacalao gratinado,segundo,3.6,2026-01-12,
248,198,9,1116,26,Torrijas,postre,4.4,2026-01-12,Como casero
249,306,6,713,149,Pimientos asados,primero,5.0,2025-12-11,
250,306,6,713,154,Arroz a banda,segundo,3.9,2025-12-11,
251,306,6,713,29,Brownie con helado,postre,3.9,2025-12-11,
252,240,6,713,149,Pimientos asados,primero,2.2,2025-12-11,
253,240,6,713,154,Arroz a banda,segundo,3.0,2025-12-11,
254,271,6,713,149,Pimientos asados,primero,3.2,2025-12-11,
255,271,6,713,29,Brownie con helado,postre,3.8,2025-12-11,
256,129,6,713,154,Arroz a banda,segundo,2.5,2025-12-11,
257,129,6,713,29,Brownie con helado,postre,3.8,2025-12-11,
258,498,6,713,149,Pimientos asados,primero,4.6,2025-12-11,
259,498,6,713,29,Brownie con helado,postre,4.4,2025-12-11,
260,284,7,772,168,Ensalada templada,primero,4.6,2025-09-04,
261,284,7,772,173,Entrecot a la brasa,segundo,4.3,2025-09-04,Muy bueno
262,284,7,772,14,Natillas,postre,3.1,2025-09-04,
263,441,7,772,168,Ensalada templada,primero,3.2,2025-09-04,
264,441,7,772,14,Natillas,postre,3.5,2025-09-04,
265,483,7,772,173,Entrecot a la brasa,segundo,3.0,2025-09-04,
266,483,7,772,14,Natillas,postre,3.3,2025-09-04,
267,349,7,853,181,Chuletón de buey,segundo,4.8,2025-12-30,
268,370,7,853,176,Croquetas caseras,primero,3.4,2025-12-30,
269,350,7,853,176,Croquetas caseras,primero,4.0,2025-12-30,
270,454,7,853,181,Chuletón de buey,segundo,3.3,2025-12-30,
271,454,7,853,27,Tarta de queso,postre,4.0,2025-12-30,
272,275,1,82,18,Lentejas con verduras,primero,3.5,2025-12-24,
273,275,1,82,23,Estofado de ternera,segundo,4.6,2025-12-24,Buenísimo
274,275,1,82,28,Crema catalana,postre,5.0,2025-12-24,
275,385,1,82,28,Crema catalana,postre,5.0,2025-12-24,Excelente
276,137,1,82,18,Lentejas con verduras,primero,5.0,2025-12-24,
277,137,1,82,28,Crema catalana,postre,4.9,2025-12-24,
278,151,1,64,14,Natillas,postre,4.4,2025-11-27,
279,223,1,64,9,Lomo a la plancha,segundo,4.2,2025-11-27,
280,223,1,64,14,Natillas,postre,4.2,2025-11-27,
281,81,1,64,4,Judías con chorizo,primero,4.9,2025-11-27,
282,81,1,64,9,Lomo a la plancha,segundo,3.2,2025-11-27,
283,81,1,64,14,Natillas,postre,4.3,2025-11-27,Muy bueno
284,233,1,64,14,Natillas,postre,5.0,2025-11-27,Muy rico
285,498,1,124,18,Lentejas con verduras,primero,4.9,2026-02-25,
286,498,1,124,23,Estofado de ternera,segundo,3.1,2026-02-25,
287,498,1,124,28,Crema catalana,postre,4.7,2026-02-25,
288,257,9,1053,228,Ensalada de mariscos,primero,4.2,2025-10-09,
289,391,9,1053,14,Natillas,postre,4.2,2025-10-09,
290,92,9,1053,228,Ensalada de mariscos,primero,3.9,2025-10-09,
291,92,9,1053,231,Gambas a la plancha,segundo,4.7,2025-10-09,
292,468,1,79,20,Potaje de garbanzos,primero,4.8,2025-12-19,
293,55,1,79,20,Potaje de garbanzos,primero,4.6,2025-12-19,
294,55,1,79,25,Chuletillas de cordero,segundo,3.8,2025-12-19,
295,446,1,79,20,Potaje de garbanzos,primero,5.0,2025-12-19,
296,446,1,79,30,Leche frita,postre,4.2,2025-12-19,
297,321,1,79,20,Potaje de garbanzos,primero,4.3,2025-12-19,
298,153,8,984,205,Crema de brócoli,primero,4.9,2026-01-05,El mejor de la zona
299,153,8,984,210,Estofado de soja,segundo,4.8,2026-01-05,Repetiría sin duda
300,153,8,984,26,Torrijas,postre,4.6,2026-01-05,
301,431,8,984,210,Estofado de soja,segundo,4.8,2026-01-05,
302,328,8,984,205,Crema de brócoli,primero,4.7,2026-01-05,
303,260,8,984,205,Crema de brócoli,primero,5.0,2026-01-05,
304,260,8,984,26,Torrijas,postre,5.0,2026-01-05,Buenísimo
305,391,3,278,2,Lentejas estofadas,primero,5.0,2025-09-30,
306,391,3,278,7,Merluza en salsa verde,segundo,3.6,2025-09-30,
307,391,3,278,12,Flan casero,postre,2.8,2025-09-30,
308,83,3,278,2,Lentejas estofadas,primero,5.0,2025-09-30,
309,83,3,278,12,Flan casero,postre,4.4,2025-09-30,
310,277,3,278,2,Lentejas estofadas,primero,4.1,2025-09-30,Muy bueno
311,277,3,278,12,Flan casero,postre,4.6,2025-09-30,
312,489,3,278,2,Lentejas estofadas,primero,4.8,2025-09-30,
313,489,3,278,12,Flan casero,postre,4.2,2025-09-30,
314,399,3,278,2,Lentejas estofadas,primero,4.6,2025-09-30,
315,399,3,278,7,Merluza en salsa verde,segundo,4.1,2025-09-30,
316,399,3,278,12,Flan casero,postre,2.9,2025-09-30,
317,307,9,1094,236,Vieiras gratinadas,primero,4.5,2025-12-05,
318,307,9,1094,241,Chipirones encebollados,segundo,5.0,2025-12-05,
319,307,9,1094,30,Leche frita,postre,3.9,2025-12-05,
320,166,9,1094,241,Chipirones encebollados,segundo,3.7,2025-12-05,
321,166,9,1094,30,Leche frita,postre,3.7,2025-12-05,
322,251,9,1094,241,Chipirones encebollados,segundo,4.3,2025-12-05,
323,251,9,1094,30,Leche frita,postre,3.4,2025-12-05,
324,10,6,755,149,Pimientos asados,primero,4.5,2026-02-12,
325,10,6,755,154,Arroz a banda,segundo,2.2,2026-02-12,
326,10,6,755,29,Brownie con helado,postre,3.7,2026-02-12,
327,58,6,755,149,Pimientos asados,primero,3.5,2026-02-12,
328,476,6,755,154,Arroz a banda,segundo,3.8,2026-02-12,
329,476,6,755,29,Brownie con helado,postre,3.9,2026-02-12,
330,186,6,755,149,Pimientos asados,primero,4.1,2026-02-12,
331,186,6,755,29,Brownie con helado,postre,3.9,2026-02-12,
332,450,6,755,149,Pimientos asados,primero,2.2,2026-02-12,Algo soso
333,450,6,755,154,Arroz a banda,segundo,3.9,2026-02-12,
334,123,5,586,120,Sopa pho,primero,4.4,2025-12-12,
335,30,5,586,30,Leche frita,postre,2.5,2025-12-12,
336,124,5,586,125,Noodles con ternera,segundo,3.7,2025-12-12,
337,450,5,586,120,Sopa pho,primero,2.7,2025-12-12,
338,450,5,586,125,Noodles con ternera,segundo,3.8,2025-12-12,
339,450,5,586,30,Leche frita,postre,4.2,2025-12-12,
340,291,5,586,120,Sopa pho,primero,3.7,2025-12-12,
341,485,3,353,16,Cocido madrileño,primero,3.7,2026-01-19,
342,485,3,353,21,Rabo de toro,segundo,2.3,2026-01-19,
343,485,3,353,26,Torrijas,postre,4.5,2026-01-19,Excelente
344,41,3,353,16,Cocido madrileño,primero,4.9,2026-01-19,
345,41,3,353,21,Rabo de toro,segundo,5.0,2026-01-19,
346,41,3,353,26,Torrijas,postre,3.1,2026-01-19,
347,44,3,353,16,Cocido madrileño,primero,3.3,2026-01-19,
348,44,3,353,21,Rabo de toro,segundo,4.3,2026-01-19,
349,375,3,353,26,Torrijas,postre,4.3,2026-01-19,
350,390,2,255,66,Ensalada griega,primero,4.4,2026-03-02,
351,390,2,255,71,Atún a la plancha,segundo,2.9,2026-03-02,
352,273,2,255,66,Ensalada griega,primero,4.9,2026-03-02,
353,393,2,255,66,Ensalada griega,primero,3.8,2026-03-02,
354,393,2,255,71,Atún a la plancha,segundo,4.1,2026-03-02,
355,65,2,255,71,Atún a la plancha,segundo,3.1,2026-03-02,
356,65,2,255,41,Fresones con nata,postre,2.6,2026-03-02,
357,66,2,255,71,Atún a la plancha,segundo,3.0,2026-03-02,
358,66,2,255,41,Fresones con nata,postre,4.0,2026-03-02,
359,338,6,709,149,Pimientos asados,primero,3.0,2025-12-04,
360,338,6,709,29,Brownie con helado,postre,3.5,2025-12-04,
361,244,6,709,149,Pimientos asados,primero,3.7,2025-12-04,
362,244,6,709,154,Arroz a banda,segundo,4.3,2025-12-04,
363,244,6,709,29,Brownie con helado,postre,2.4,2025-12-04,Esperaba más
364,485,6,709,149,Pimientos asados,primero,2.1,2025-12-04,
365,85,6,717,148,Calamares a la romana,primero,2.5,2025-12-17,
366,85,6,717,28,Crema catalana,postre,3.9,2025-12-17,
367,136,9,1078,228,Ensalada de mariscos,primero,4.1,2025-11-13,
368,136,9,1078,14,Natillas,postre,4.8,2025-11-13,
369,271,3,375,23,Estofado de ternera,segundo,4.9,2026-02-18,El mejor de la zona
370,447,3,375,18,Lentejas con verduras,primero,4.1,2026-02-18,
371,447,3,375,23,Estofado de ternera,segundo,4.9,2026-02-18,
372,447,3,375,28,Crema catalana,postre,4.9,2026-02-18,
373,311,3,375,18,Lentejas con verduras,primero,4.5,2026-02-18,
374,217,3,375,23,Estofado de ternera,segundo,4.5,2026-02-18,
375,217,3,375,28,Crema catalana,postre,2.4,2026-02-18,
376,494,3,375,18,Lentejas con verduras,primero,5.0,2026-02-18,
377,494,3,375,23,Estofado de ternera,segundo,3.8,2026-02-18,
378,494,3,375,28,Crema catalana,postre,3.2,2026-02-18,
379,476,2,211,60,Crema de champiñones,primero,3.5,2025-12-26,
380,476,2,211,65,Bacalao confitado,segundo,4.2,2025-12-26,
381,476,2,211,30,Leche frita,postre,4.0,2025-12-26,El mejor de la zona
382,277,2,211,60,Crema de champiñones,primero,2.9,2025-12-26,
383,277,2,211,65,Bacalao confitado,segundo,3.3,2025-12-26,
384,277,2,211,30,Leche frita,postre,3.7,2025-12-26,
385,387,2,211,60,Crema de champiñones,primero,4.2,2025-12-26,
386,374,2,211,60,Crema de champiñones,primero,3.5,2025-12-26,
387,374,2,211,65,Bacalao confitado,segundo,2.7,2025-12-26,
388,374,2,211,30,Leche frita,postre,4.4,2025-12-26,Muy rico
389,354,2,211,65,Bacalao confitado,segundo,3.2,2025-12-26,
390,354,2,211,30,Leche frita,postre,3.5,2025-12-26,
391,205,2,245,61,Cordero al horno,segundo,3.1,2026-02-16,
392,344,6,742,26,Torrijas,postre,2.7,2026-01-26,
393,333,6,742,146,Sopa de marisco,primero,4.6,2026-01-26,
394,333,6,742,151,Arroz caldoso de bogavante,segundo,3.5,2026-01-26,
395,192,6,742,146,Sopa de marisco,primero,4.0,2026-01-26,
396,192,6,742,151,Arroz caldoso de bogavante,segundo,3.1,2026-01-26,
397,192,6,742,26,Torrijas,postre,2.7,2026-01-26,
398,225,5,549,107,Rollitos de primavera,primero,3.2,2025-10-21,
399,225,5,549,112,Pad thai,segundo,4.8,2025-10-21,
400,225,5,549,12,Flan casero,postre,4.7,2025-10-21,Excelente
401,461,5,549,107,Rollitos de primavera,primero,2.8,2025-10-21,
