fecha,restaurante_id,nombre_restaurante,tipo_cocina,direccion,precio_menu,dia_semana,dia_semana_num,temporada,primer_plato,segundo_plato,postre,temperatura,lluvia,es_festivo,menus_vendidos,ingresos,valoracion_media
2025-09-05,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Viernes,4,otoño,Sopa minestrone,Musaka griega,Coulant de chocolate,25.0,False,False,31,403.0,3.5
2025-09-05,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Viernes,4,otoño,Puchero madrileño,Callos a la madrileña,Coulant de chocolate,25.0,False,False,22,253.0,3.2
2025-09-05,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Viernes,4,otoño,Antipasto variado,Ravioli de ricotta,Coulant de chocolate,25.0,False,False,27,378.0,4.4
2025-09-05,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Viernes,4,otoño,Edamame,Arroz frito con gambas,Coulant de chocolate,25.0,False,False,31,341.0,3.7
2025-09-05,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Viernes,4,otoño,Sopa de pescado,Fideuá,Coulant de chocolate,25.0,False,False,28,406.0,4.0
2025-09-05,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Viernes,4,otoño,Patatas revolconas,Chuletas de cordero,Coulant de chocolate,25.0,False,False,26,390.0,4.0
2025-09-05,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Viernes,4,otoño,Rollitos de col,Bowl de lentejas,Coulant de chocolate,25.0,False,False,21,252.0,5.0
2025-09-05,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Viernes,4,otoño,Sopa de pescado,Rape alangostado,Coulant de chocolate,25.0,False,False,24,384.0,3.4
2025-09-05,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Viernes,4,otoño,Totopos con pico de gallo,Chili con carne,Coulant de chocolate,25.0,False,False,28,308.0,3.9
2025-09-08,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Lunes,0,otoño,Sopa castellana,Pollo asado con patatas,Arroz con leche,27.0,False,False,46,575.0,3.9
2025-09-08,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Lunes,0,otoño,Ensalada templada de setas,Dorada al horno,Arroz con leche,27.0,False,False,45,585.0,3.8
2025-09-08,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Lunes,0,otoño,Sopa castellana,Pollo asado con patatas,Arroz con leche,27.0,False,False,41,471.5,3.7
2025-09-08,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Lunes,0,otoño,Minestrone,Pasta carbonara,Arroz con leche,27.0,False,False,39,546.0,4.4
2025-09-08,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Lunes,0,otoño,Sopa de miso,Pollo teriyaki,Arroz con leche,27.0,False,False,48,528.0,3.9
2025-09-08,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Lunes,0,otoño,Ensalada valenciana,Arroz con pollo,Arroz con leche,27.0,False,False,32,464.0,4.7
2025-09-08,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Lunes,0,otoño,Sopa castellana de setas,Chuletón de ternera,Arroz con leche,27.0,False,False,38,570.0,4.3
2025-09-08,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Lunes,0,otoño,Crema de calabaza y curry,Curry de garbanzos,Arroz con leche,27.0,False,False,28,336.0,3.6
2025-09-08,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Lunes,0,otoño,Salpicón de marisco,Merluza a la vasca,Arroz con leche,27.0,False,False,28,448.0,3.2
2025-09-08,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Lunes,0,otoño,Sopa azteca,Tacos al pastor,Arroz con leche,27.0,False,False,34,374.0,4.0
2025-09-09,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Martes,1,otoño,Lentejas estofadas,Merluza en salsa verde,Flan casero,22.1,True,False,44,550.0,4.4
2025-09-09,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Martes,1,otoño,Crema de puerros,Pollo al romero,Flan casero,22.1,True,False,32,416.0,4.0
2025-09-09,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Martes,1,otoño,Lentejas estofadas,Merluza en salsa verde,Flan casero,22.1,True,False,41,471.5,4.1
2025-09-09,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Martes,1,otoño,Bruschetta de tomate,Lasaña boloñesa,Flan casero,22.1,True,False,34,476.0,4.3
2025-09-09,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Martes,1,otoño,Rollitos de primavera,Pad thai,Flan casero,22.1,True,False,34,374.0,2.8
2025-09-09,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Martes,1,otoño,Croquetas de jamón,Paella de marisco,Flan casero,22.1,True,False,27,391.5,3.6
2025-09-09,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Martes,1,otoño,Morcilla de Burgos,Cochinillo asado,Flan casero,22.1,True,False,33,495.0,4.4
2025-09-09,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Martes,1,otoño,Ensalada de quinoa,Lasaña de verduras,Flan casero,22.1,True,False,31,372.0,3.5
2025-09-09,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Martes,1,otoño,Gambas al ajillo,Paella de marisco,Flan casero,22.1,True,False,31,496.0,3.4
2025-09-09,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Martes,1,otoño,Nachos con guacamole,Enchiladas rojas,Flan casero,22.1,True,False,39,429.0,3.3
2025-09-10,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Miércoles,2,otoño,Crema de calabaza,Albóndigas en salsa,Tarta de manzana,23.6,False,False,47,587.5,3.6
2025-09-10,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Miércoles,2,otoño,Hummus con crudités,Brochetas de ternera,Tarta de manzana,23.6,False,False,44,572.0,5.0
2025-09-10,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Miércoles,2,otoño,Crema de calabaza,Albóndigas en salsa,Tarta de manzana,23.6,False,False,38,437.0,3.9
2025-09-10,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Miércoles,2,otoño,Ensalada caprese,Scaloppine al limón,Tarta de manzana,23.6,False,False,39,546.0,4.6
2025-09-10,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Miércoles,2,otoño,Gyozas de cerdo,Cerdo agridulce,Tarta de manzana,23.6,False,False,55,605.0,3.6
2025-09-10,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Miércoles,2,otoño,Mejillones al vapor,Arroz al horno,Tarta de manzana,23.6,False,False,35,507.5,3.8
2025-09-10,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Miércoles,2,otoño,Pimientos asados,Costillas de cerdo,Tarta de manzana,23.6,False,False,41,615.0,4.3
2025-09-10,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Miércoles,2,otoño,Hummus casero,Hamburguesa vegana,Tarta de manzana,23.6,False,False,30,360.0,4.5
2025-09-10,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Miércoles,2,otoño,Mejillones a la marinera,Lubina a la espalda,Tarta de manzana,23.6,False,False,31,496.0,4.4
2025-09-10,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Miércoles,2,otoño,Elote asado,Burrito de pollo,Tarta de manzana,23.6,False,False,47,517.0,3.8
2025-09-11,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Jueves,3,otoño,Judías con chorizo,Lomo a la plancha,Natillas,26.2,False,False,36,450.0,4.1
2025-09-11,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Jueves,3,otoño,Tabulé,Salmón con verduras,Natillas,26.2,False,False,50,650.0,3.8
2025-09-11,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Jueves,3,otoño,Judías con chorizo,Lomo a la plancha,Natillas,26.2,False,False,41,471.5,3.5
2025-09-11,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Jueves,3,otoño,Crema de calabacín,Pizza margarita,Natillas,26.2,False,False,39,546.0,5.0
2025-09-11,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Jueves,3,otoño,Ensalada de wakame,Curry rojo de pollo,Natillas,26.2,False,False,50,550.0,3.8
2025-09-11,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Jueves,3,otoño,Pimientos del piquillo rellenos,Arroz negro,Natillas,26.2,False,False,27,391.5,4.3
2025-09-11,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Jueves,3,otoño,Ensalada templada,Entrecot a la brasa,Natillas,26.2,False,False,34,510.0,3.9
2025-09-11,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Jueves,3,otoño,Sopa de lentejas rojas,Tofu salteado,Natillas,26.2,False,False,21,252.0,3.5
2025-09-11,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Jueves,3,otoño,Ensalada de mariscos,Gambas a la plancha,Natillas,26.2,False,False,26,416.0,3.4
2025-09-11,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Jueves,3,otoño,Quesadillas de queso,Fajitas de ternera,Natillas,26.2,False,False,46,506.0,4.4
2025-09-12,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Viernes,4,otoño,Puchero madrileño,Callos a la madrileña,Coulant de chocolate,22.1,False,False,37,462.5,3.7
2025-09-12,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Viernes,4,otoño,Sopa minestrone,Musaka griega,Coulant de chocolate,22.1,False,False,32,416.0,5.0
2025-09-12,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Viernes,4,otoño,Puchero madrileño,Callos a la madrileña,Coulant de chocolate,22.1,False,False,21,241.5,3.7
2025-09-12,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Viernes,4,otoño,Antipasto variado,Ravioli de ricotta,Coulant de chocolate,22.1,False,False,25,350.0,4.3
2025-09-12,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Viernes,4,otoño,Edamame,Arroz frito con gambas,Coulant de chocolate,22.1,False,False,42,462.0,4.0
2025-09-12,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Viernes,4,otoño,Sopa de pescado,Fideuá,Coulant de chocolate,22.1,False,False,19,275.5,5.0
2025-09-12,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Viernes,4,otoño,Patatas revolconas,Chuletas de cordero,Coulant de chocolate,22.1,False,False,23,345.0,4.1
2025-09-12,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Viernes,4,otoño,Rollitos de col,Bowl de lentejas,Coulant de chocolate,22.1,False,False,21,252.0,4.6
2025-09-12,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Viernes,4,otoño,Sopa de pescado,Rape alangostado,Coulant de chocolate,22.1,False,False,25,400.0,4.6
2025-09-12,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Viernes,4,otoño,Totopos con pico de gallo,Chili con carne,Coulant de chocolate,22.1,False,False,29,319.0,3.1
2025-09-15,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Lunes,0,otoño,Sopa castellana,Pollo asado con patatas,Arroz con leche,21.0,False,False,53,662.5,3.6
2025-09-15,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Lunes,0,otoño,Ensalada templada de setas,Dorada al horno,Arroz con leche,21.0,False,False,54,702.0,4.4
2025-09-15,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Lunes,0,otoño,Sopa castellana,Pollo asado con patatas,Arroz con leche,21.0,False,False,38,437.0,4.4
2025-09-15,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Lunes,0,otoño,Minestrone,Pasta carbonara,Arroz con leche,21.0,False,False,42,588.0,4.8
2025-09-15,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Lunes,0,otoño,Sopa de miso,Pollo teriyaki,Arroz con leche,21.0,False,False,45,495.0,4.5
2025-09-15,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Lunes,0,otoño,Ensalada valenciana,Arroz con pollo,Arroz con leche,21.0,False,False,30,435.0,3.9
2025-09-15,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Lunes,0,otoño,Sopa castellana de setas,Chuletón de ternera,Arroz con leche,21.0,False,False,43,645.0,5.0
2025-09-15,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Lunes,0,otoño,Crema de calabaza y curry,Curry de garbanzos,Arroz con leche,21.0,False,False,34,408.0,4.3
2025-09-15,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Lunes,0,otoño,Salpicón de marisco,Merluza a la vasca,Arroz con leche,21.0,False,False,23,368.0,4.4
2025-09-15,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Lunes,0,otoño,Sopa azteca,Tacos al pastor,Arroz con leche,21.0,False,False,49,539.0,3.7
2025-09-16,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Martes,1,otoño,Lentejas estofadas,Merluza en salsa verde,Flan casero,22.8,False,False,46,575.0,4.9
2025-09-16,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Martes,1,otoño,Crema de puerros,Pollo al romero,Flan casero,22.8,False,False,54,702.0,3.8
2025-09-16,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Martes,1,otoño,Lentejas estofadas,Merluza en salsa verde,Flan casero,22.8,False,False,35,402.5,3.6
2025-09-16,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Martes,1,otoño,Bruschetta de tomate,Lasaña boloñesa,Flan casero,22.8,False,False,28,392.0,4.3
2025-09-16,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Martes,1,otoño,Rollitos de primavera,Pad thai,Flan casero,22.8,False,False,66,726.0,3.5
2025-09-16,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Martes,1,otoño,Croquetas de jamón,Paella de marisco,Flan casero,22.8,False,False,32,464.0,4.8
2025-09-16,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Martes,1,otoño,Morcilla de Burgos,Cochinillo asado,Flan casero,22.8,False,False,32,480.0,3.9
2025-09-16,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Martes,1,otoño,Ensalada de quinoa,Lasaña de verduras,Flan casero,22.8,False,False,28,336.0,3.7
2025-09-16,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Martes,1,otoño,Gambas al ajillo,Paella de marisco,Flan casero,22.8,False,False,36,576.0,3.6
2025-09-16,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Martes,1,otoño,Nachos con guacamole,Enchiladas rojas,Flan casero,22.8,False,False,35,385.0,3.7
2025-09-17,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Miércoles,2,otoño,Crema de calabaza,Albóndigas en salsa,Tarta de manzana,23.7,False,False,40,500.0,3.2
2025-09-17,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Miércoles,2,otoño,Hummus con crudités,Brochetas de ternera,Tarta de manzana,23.7,False,False,36,468.0,2.9
2025-09-17,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Miércoles,2,otoño,Crema de calabaza,Albóndigas en salsa,Tarta de manzana,23.7,False,False,33,379.5,3.8
2025-09-17,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Miércoles,2,otoño,Ensalada caprese,Scaloppine al limón,Tarta de manzana,23.7,False,False,44,616.0,4.4
2025-09-17,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Miércoles,2,otoño,Gyozas de cerdo,Cerdo agridulce,Tarta de manzana,23.7,False,False,56,616.0,3.1
2025-09-17,6,La Albufera,Arrocería,"Calle Pedro Teixeira 8, Madrid",14.5,Miércoles,2,otoño,Mejillones al vapor,Arroz al horno,Tarta de manzana,23.7,False,False,27,391.5,4.0
2025-09-17,7,El Asador de Azca,Asador,"Paseo de la Castellana 93, Madrid",15.0,Miércoles,2,otoño,Pimientos asados,Costillas de cerdo,Tarta de manzana,23.7,False,False,34,510.0,3.6
2025-09-17,8,Verde & Más,Vegetariana,"Calle Sor Ángela de la Cruz 4, Madrid",12.0,Miércoles,2,otoño,Hummus casero,Hamburguesa vegana,Tarta de manzana,23.7,False,False,30,360.0,3.6
2025-09-17,9,Marisquería Nautilus,Marisquería,"Calle Orense 68, Madrid",16.0,Miércoles,2,otoño,Mejillones a la marinera,Lubina a la espalda,Tarta de manzana,23.7,False,False,32,512.0,4.0
2025-09-17,10,Taquería La Lupe,Mexicana,"Calle Capitán Haya 1, Madrid",11.0,Miércoles,2,otoño,Elote asado,Burrito de pollo,Tarta de manzana,23.7,False,False,39,429.0,2.7
2025-09-18,1,Casa Hortensia,Tradicional Española,"Calle Orense 32, Madrid",12.5,Jueves,3,otoño,Judías con chorizo,Lomo a la plancha,Natillas,21.4,False,False,35,437.5,4.4
2025-09-18,2,El Rincón de Azca,Mediterránea,"Paseo de la Castellana 89, Madrid",13.0,Jueves,3,otoño,Tabulé,Salmón con verduras,Natillas,21.4,False,False,47,611.0,4.0
2025-09-18,3,La Taberna del Volapié,Tradicional Española,"Calle Rosario Pino 12, Madrid",11.5,Jueves,3,otoño,Judías con chorizo,Lomo a la plancha,Natillas,21.4,False,False,35,402.5,3.7
2025-09-18,4,Trattoria Azca,Italiana,"Calle Capitán Haya 19, Madrid",14.0,Jueves,3,otoño,Crema de calabacín,Pizza margarita,Natillas,21.4,False,False,37,518.0,3.7
2025-09-18,5,Wok Garden,Asiática,"Calle Orense 16, Madrid",11.0,Jueves,3,otoño,Ensalada de wakame,Curry rojo de pollo,Natillas,21.4,False,False,48,528.0,3.4
